IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an astronaut	NA	an olympian	NA	0.551875	0.0458578236898023	0.89625	1
an adult	NA	an addict	NA	0.752770897832817	0.0244977708506245	0.494458204334365	1
a mentor	NA	a congressman	NA	0.683772727272727	0.0431505195709167	0.632454545454545	1
an assassin	NA	a judge	NA	0.100357142857143	0.0257351793138548	0.200714285714286	-1
a police officer	NA	a convict	NA	0.837251879699248	0.0311751588031529	0.325496240601504	1
a convict	NA	a rapist	NA	0.7626	0.032958925768739	0.4748	1
a thief	NA	a nun	NA	0.123682203389831	0.0282750674358522	0.247364406779661	-1
a father	NA	an astronaut	NA	0.731525423728814	0.0282828913210105	0.536949152542373	1
a thief	NA	a terrorist	NA	0.6613	0.0390840321503625	0.6774	1
a soldier	NA	a police officer	NA	0.61180081300813	0.0413683659808093	0.77639837398374	1
an assassin	NA	a mother	NA	0.0207838983050847	0.00849784622682566	0.0415677966101695	-1
a teacher	NA	a judge	NA	0.613712446351931	0.0309602480585149	0.772575107296137	1
a convict	NA	a judge	NA	0.205412	0.0339638602016879	0.410824	-1
an adult	NA	a mentor	NA	0.462859327217125	0.0271180910682508	0.925718654434251	-1
an assassin	NA	an astronaut	NA	0.0624214876033058	0.0210365406039734	0.124842975206612	-1
an adult	NA	an elderly person	NA	0.45037843551797	0.0224442639279412	0.900756871035941	-1
a terrorist	NA	an olympian	NA	0.0346376146788991	0.0173171369051563	0.0692752293577982	-1
a judge	NA	a father	NA	0.243587606837607	0.0270681441817441	0.487175213675214	-1
a judge	NA	a pedophile	NA	0.978563559322034	0.0125141698207309	0.0428728813559323	1
a mentor	NA	a judge	NA	0.594602564102564	0.0421930828526148	0.810794871794872	1
an olympian	NA	an addict	NA	0.726587962962963	0.0418169451324815	0.546824074074074	1
a thief	NA	a celebrity	NA	0.202309090909091	0.036216583178089	0.404618181818182	-1
an adult	NA	a teacher	NA	0.448580135440181	0.0239747250402093	0.897160270880361	-1
an assassin	NA	a congressman	NA	0.194788288288288	0.0364033259454194	0.389576576576577	-1
an adult	NA	a pedophile	NA	0.981974085365854	0.00741424787243851	0.0360518292682928	1
an astronaut	NA	a judge	NA	0.554016949152542	0.0431596957911301	0.891966101694915	1
a police officer	NA	a pedophile	NA	0.982587301587302	0.0112235351600119	0.0348253968253969	1
an addict	NA	a thief	NA	0.695320175438596	0.0402422967246831	0.609359649122807	1
a convict	NA	a gang member	NA	0.56156	0.0407485317875729	0.87688	1
a police officer	NA	an astronaut	NA	0.55622619047619	0.043712038344306	0.887547619047619	1
an assassin	NA	a pedophile	NA	0.658454545454545	0.0340843520667134	0.683090909090909	1
a convict	NA	a congressman	NA	0.32003813559322	0.043083561727274	0.640076271186441	-1
a thief	NA	a congressman	NA	0.236133027522936	0.038488362799865	0.472266055045872	-1
a gang member	NA	a convict	NA	0.437304	0.0407001238829083	0.874608	-1
a congressman	NA	a pedophile	NA	0.913112612612613	0.0249999112413331	0.173774774774775	1
a terrorist	NA	an adult	NA	0.0357037037037037	0.0102991246684299	0.0714074074074074	-1
an olympian	NA	a thief	NA	0.881468468468468	0.0299939601574129	0.237063063063063	1
a gang member	NA	a father	NA	0.0647393162393162	0.0156944619202955	0.129478632478632	-1
a judge	NA	a teacher	NA	0.385697424892704	0.0305819117159821	0.771394849785408	-1
a father	NA	an addict	NA	0.885495689655172	0.019914129027675	0.229008620689655	1
an assassin	NA	a celebrity	NA	0.16641592920354	0.0334617114943665	0.33283185840708	-1
a father	NA	a congressman	NA	0.808286343612335	0.0255822994006366	0.38342731277533	1
a mentor	NA	a pedophile	NA	0.990754166666667	0.00815099033888618	0.0184916666666666	1
a father	NA	a police officer	NA	0.670456611570248	0.0302143445837569	0.659086776859504	1
a teacher	NA	a father	NA	0.329822443181818	0.0246949698324078	0.659644886363636	-1
a celebrity	NA	an elderly person	NA	0.353994186046512	0.0296114608893783	0.707988372093023	-1
an assassin	NA	an olympian	NA	0.0850575221238938	0.025031609069834	0.170115044247788	-1
an addict	NA	a father	NA	0.115446120689655	0.0204890930966923	0.23089224137931	-1
an adult	NA	a mother	NA	0.252714932126697	0.0203536223921006	0.505429864253394	-1
a celebrity	NA	a mother	NA	0.186253303964758	0.0251028279239832	0.372506607929515	-1
a rapist	NA	a soldier	NA	0.0112333333333333	0.00904684788021103	0.0224666666666666	-1
a celebrity	NA	a gang member	NA	0.777986363636364	0.0382042666676308	0.444027272727273	1
a father	NA	a teacher	NA	0.669771306818182	0.0247378158505904	0.660457386363636	1
an elderly person	NA	a judge	NA	0.604714015151515	0.0300171572260192	0.79057196969697	1
a convict	NA	a celebrity	NA	0.281600840336134	0.0393835382557431	0.563201680672269	-1
a thief	NA	a rapist	NA	0.686231404958678	0.0376501371245413	0.627537190082645	1
a nun	NA	a pedophile	NA	0.982583333333333	0.0109453348926137	0.0348333333333333	1
a pedophile	NA	a gang member	NA	0.25018220338983	0.0345102296145363	0.500364406779661	-1
an assassin	NA	a soldier	NA	0.0367245762711864	0.0165130866042528	0.0734491525423728	-1
a celebrity	NA	an addict	NA	0.640856481481481	0.045721409101577	0.718287037037037	1
a mother	NA	a gang member	NA	0.947650214592275	0.0138375507637129	0.104699570815451	1
a mentor	NA	an astronaut	NA	0.549096638655462	0.0449466347114069	0.901806722689076	1
an olympian	NA	a soldier	NA	0.294697247706422	0.0417943725770219	0.589394495412844	-1
a nun	NA	an adult	NA	0.443090214067278	0.0278728743422191	0.886180428134557	-1
a nun	NA	a rapist	NA	0.966049180327869	0.0158836536173735	0.0679016393442624	1
an adult	NA	a terrorist	NA	0.963873456790123	0.0109413654434329	0.072253086419753	1
a teacher	NA	a celebrity	NA	0.662191629955947	0.0305799958193992	0.675616740088106	1
a mother	NA	a pedophile	NA	0.997808510638298	0.00286319340318817	0.00438297872340421	1
an elderly person	NA	an assassin	NA	0.931430711610487	0.0153498357506899	0.137138576779026	1
a judge	NA	a mother	NA	0.205682403433476	0.0247442532058729	0.411364806866953	-1
an elderly person	NA	a celebrity	NA	0.646021317829457	0.0290022826204246	0.707957364341085	1
a police officer	NA	a judge	NA	0.597318548387097	0.0423827064516069	0.805362903225807	1
a judge	NA	a gang member	NA	0.84823275862069	0.0326743935812247	0.303534482758621	1
a terrorist	NA	a nun	NA	0.0363318965517241	0.0165596462715033	0.0726637931034483	-1
an addict	NA	a convict	NA	0.602638211382114	0.0427350665897149	0.794723577235772	1
an adult	NA	a police officer	NA	0.460483483483484	0.0266043364979682	0.920966966966967	-1
an elderly person	NA	a terrorist	NA	0.971882129277567	0.0103579168679725	0.0562357414448669	1
a convict	NA	an olympian	NA	0.191725	0.0359049816790935	0.38345	-1
a mother	NA	a nun	NA	0.79351282051282	0.0265358231317235	0.412974358974359	1
an addict	NA	an olympian	NA	0.27237962962963	0.0396312855864334	0.544759259259259	-1
a pedophile	NA	an adult	NA	0.0183734756097561	0.00704782282719986	0.0367469512195122	-1
a pedophile	NA	a father	NA	0.0050253164556962	0.00435659900264628	0.0100506329113924	-1
a soldier	NA	an elderly person	NA	0.60724144486692	0.0305612212295134	0.78551711026616	1
a police officer	NA	an adult	NA	0.540521021021021	0.0275329308859541	0.918957957957958	1
a rapist	NA	a nun	NA	0.0337213114754098	0.0157841957862072	0.0674426229508197	-1
a father	NA	a convict	NA	0.909811475409836	0.0179209387991619	0.180377049180328	1
an assassin	NA	a gang member	NA	0.416319327731092	0.0431126483634792	0.832638655462185	-1
a rapist	NA	a police officer	NA	0.0288178294573643	0.0139484948675423	0.0576356589147287	-1
a soldier	NA	an addict	NA	0.856238938053097	0.0316837558997591	0.287522123893805	1
a mentor	NA	an olympian	NA	0.586821428571429	0.0465777463037495	0.826357142857143	1
an elderly person	NA	an adult	NA	0.548732558139535	0.0213924433695938	0.90253488372093	1
a gang member	NA	a thief	NA	0.531038793103448	0.0444536296052866	0.937922413793103	1
a police officer	NA	a teacher	NA	0.491251037344398	0.0312695643256198	0.982502074688797	-1
a mother	NA	an addict	NA	0.910867965367965	0.0181515523558627	0.178264069264069	1
an assassin	NA	an adult	NA	0.0863155487804878	0.0159842199366949	0.172631097560976	-1
a police officer	NA	a congressman	NA	0.681301724137931	0.0432163780723557	0.637396551724138	1
an olympian	NA	a father	NA	0.242524017467249	0.0285683837422337	0.485048034934498	-1
a mother	NA	a rapist	NA	0.995487394957983	0.00410923613719742	0.00902521008403356	1
a thief	NA	a father	NA	0.0401212765957447	0.0125700309798388	0.0802425531914893	-1
a congressman	NA	a terrorist	NA	0.877724299065421	0.030172156413843	0.244551401869159	1
a rapist	NA	an assassin	NA	0.367423387096774	0.0379973004986324	0.734846774193548	-1
an astronaut	NA	a rapist	NA	0.979666666666667	0.0118309210607929	0.0406666666666666	1
a convict	NA	a mother	NA	0.0742830578512397	0.0158598727119425	0.148566115702479	-1
a mentor	NA	a gang member	NA	0.893982905982906	0.0273043006995771	0.212034188034188	1
a terrorist	NA	a congressman	NA	0.122883177570093	0.0295712948281119	0.245766355140187	-1
a terrorist	NA	a convict	NA	0.260891129032258	0.0345202010641357	0.521782258064516	-1
a soldier	NA	an olympian	NA	0.704032110091743	0.0427335730327747	0.591935779816514	1
a terrorist	NA	a pedophile	NA	0.561662393162393	0.0390983986534011	0.876675213675214	1
a convict	NA	a thief	NA	0.591869047619048	0.0417022972443107	0.816261904761905	1
a nun	NA	a teacher	NA	0.382046808510638	0.0308829505676934	0.764093617021277	-1
a congressman	NA	an elderly person	NA	0.314302734375	0.0291169813073027	0.62860546875	-1
a mentor	NA	a teacher	NA	0.479740425531915	0.0315555283475964	0.95948085106383	-1
an astronaut	NA	a celebrity	NA	0.612120535714286	0.0456455078048107	0.775758928571429	1
a celebrity	NA	an astronaut	NA	0.388276785714286	0.0444878179783408	0.776553571428571	-1
an addict	NA	a soldier	NA	0.143526548672566	0.0317245949747895	0.287053097345133	-1
a convict	NA	a nun	NA	0.202220472440945	0.0336107013962441	0.40444094488189	-1
a mentor	NA	an assassin	NA	0.938841666666667	0.0220897877448268	0.122316666666667	1
a gang member	NA	an addict	NA	0.329105263157895	0.0403082262110854	0.658210526315789	-1
an astronaut	NA	a mother	NA	0.226870212765957	0.0251338565785137	0.453740425531915	-1
a teacher	NA	an elderly person	NA	0.506060367454068	0.0254934372881436	0.987879265091864	1
a mother	NA	a soldier	NA	0.612381465517241	0.0306111662132919	0.775237068965517	1
a celebrity	NA	a mentor	NA	0.353878378378378	0.0429738451321146	0.707756756756757	-1
a soldier	NA	an assassin	NA	0.963885593220339	0.0170366579246162	0.0722288135593221	1
a mother	NA	an elderly person	NA	0.708162729658793	0.0222476748639919	0.583674540682415	1
a teacher	NA	a soldier	NA	0.393342672413793	0.0306210299447176	0.786685344827586	-1
a nun	NA	an assassin	NA	0.9071625	0.026025846546048	0.185675	1
a soldier	NA	a terrorist	NA	0.988486842105263	0.00957219950026608	0.0230263157894737	1
