IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a celebrity	NA	a mother	NA	0.187178414096916	0.0258288502465861	0.374356828193833	-1
a rapist	NA	a soldier	NA	0.0110166666666667	0.00887783972937576	0.0220333333333333	-1
a celebrity	NA	a gang member	NA	0.776281818181818	0.0394517719510629	0.447436363636364	1
a father	NA	a teacher	NA	0.670575284090909	0.0246028210055778	0.658849431818182	1
an elderly person	NA	a judge	NA	0.605833333333333	0.0292225501179625	0.788333333333333	1
a convict	NA	a celebrity	NA	0.280516806722689	0.0391400946989075	0.561033613445378	-1
a thief	NA	a rapist	NA	0.690012396694215	0.0359200672896148	0.61997520661157	1
a nun	NA	a pedophile	NA	0.982216666666667	0.0113050639599166	0.0355666666666667	1
a pedophile	NA	a gang member	NA	0.251076271186441	0.0357750517827078	0.502152542372881	-1
an assassin	NA	a soldier	NA	0.0366059322033898	0.0165438418238695	0.0732118644067796	-1
a celebrity	NA	an addict	NA	0.637949074074074	0.0453570877133656	0.724101851851852	1
a mother	NA	a gang member	NA	0.947173819742489	0.0147050157936896	0.105652360515021	1
a mentor	NA	an astronaut	NA	0.548768907563025	0.0442509926528246	0.90246218487395	1
an olympian	NA	a soldier	NA	0.295036697247706	0.0424242271521513	0.590073394495413	-1
a nun	NA	an adult	NA	0.442423547400612	0.0267645412531861	0.884847094801223	-1
a nun	NA	a rapist	NA	0.96566393442623	0.0151255255353764	0.0686721311475409	1
an adult	NA	a terrorist	NA	0.964064814814815	0.0100240238305826	0.0718703703703705	1
a teacher	NA	a celebrity	NA	0.661894273127753	0.0304369062460039	0.676211453744493	1
a mother	NA	a pedophile	NA	0.99778085106383	0.00267673927644597	0.00443829787234029	1
an elderly person	NA	an assassin	NA	0.93002808988764	0.0158479854988412	0.139943820224719	1
a judge	NA	a mother	NA	0.205218884120172	0.0254650961899498	0.410437768240343	-1
an elderly person	NA	a celebrity	NA	0.645290697674419	0.0299322724701356	0.709418604651163	1
a police officer	NA	a judge	NA	0.599040322580645	0.0424512699211009	0.80191935483871	1
a judge	NA	a gang member	NA	0.850112068965517	0.031821155480505	0.299775862068965	1
a terrorist	NA	a nun	NA	0.0368922413793103	0.0163525824984362	0.0737844827586207	-1
an addict	NA	a convict	NA	0.601670731707317	0.0433541156604077	0.796658536585366	1
