IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an adult	NA	an elderly person	NA	0.451100422832981	0.0227452827480748	0.902200845665962	-1
a terrorist	NA	an olympian	NA	0.0335275229357798	0.0164437669074665	0.0670550458715596	-1
a judge	NA	a father	NA	0.244254273504274	0.0274578393308849	0.488508547008547	-1
a judge	NA	a pedophile	NA	0.97978813559322	0.0115426408357923	0.0404237288135594	1
a mentor	NA	a judge	NA	0.594598290598291	0.0438659896791449	0.810803418803419	1
an olympian	NA	an addict	NA	0.730800925925926	0.0430325976199621	0.538398148148148	1
a thief	NA	a celebrity	NA	0.203713636363636	0.0371907233877543	0.407427272727273	-1
an adult	NA	a teacher	NA	0.447064334085779	0.0237699963901035	0.894128668171558	-1
an assassin	NA	a congressman	NA	0.195864864864865	0.0367221109838956	0.39172972972973	-1
an adult	NA	a pedophile	NA	0.98161737804878	0.00739903882781716	0.0367652439024391	1
an astronaut	NA	a judge	NA	0.556152542372881	0.0458265134069508	0.887694915254237	1
a police officer	NA	a pedophile	NA	0.982710317460317	0.0113770407168653	0.0345793650793651	1
an addict	NA	a thief	NA	0.698684210526316	0.0418079007236739	0.602631578947368	1
a convict	NA	a gang member	NA	0.562104	0.0421149243244108	0.875792	1
a police officer	NA	an astronaut	NA	0.555992063492064	0.0432417054560127	0.888015873015873	1
an assassin	NA	a pedophile	NA	0.658764462809917	0.0362400872771206	0.682471074380165	1
a convict	NA	a congressman	NA	0.320504237288136	0.0424039771124571	0.641008474576271	-1
a thief	NA	a congressman	NA	0.234123853211009	0.0396289161542745	0.468247706422018	-1
a gang member	NA	a convict	NA	0.437588	0.0400854724445291	0.875176	-1
a congressman	NA	a pedophile	NA	0.911234234234234	0.0254181032598056	0.177531531531532	1
a terrorist	NA	an adult	NA	0.0358626543209877	0.0103178995705949	0.0717253086419753	-1
an olympian	NA	a thief	NA	0.883144144144144	0.0297147628692996	0.233711711711712	1
a gang member	NA	a father	NA	0.0649551282051282	0.015662192972002	0.129910256410256	-1
a judge	NA	a teacher	NA	0.38643347639485	0.0308107028021725	0.7728669527897	-1
a father	NA	an addict	NA	0.885519396551724	0.020425607372194	0.228961206896552	1
an assassin	NA	a celebrity	NA	0.167146017699115	0.0331901589047889	0.33429203539823	-1
a father	NA	a congressman	NA	0.809050660792952	0.0254182242641726	0.381898678414097	1
a mentor	NA	a pedophile	NA	0.991308333333333	0.00800639533467741	0.0173833333333333	1
a father	NA	a police officer	NA	0.669780991735537	0.0288963345944108	0.660438016528926	1
a teacher	NA	a father	NA	0.331397727272727	0.0239867943089229	0.662795454545455	-1
a celebrity	NA	an elderly person	NA	0.35387984496124	0.0280027951283051	0.707759689922481	-1
an assassin	NA	an olympian	NA	0.0857477876106195	0.0258239658230745	0.171495575221239	-1
